produto,classificao_produto,id_produto,nom_municipio,cod_ibge,uf,regiao,ano,mes,data_inicial_final_semana,semana,dsc_nivel_comercializacao,valor_produto_kg,data_inicial,data_final
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,5,05-05-2025 - 09-05-2025,1,PREÇO RECEBIDO P/ PR,27.0,2025-05-05,2025-05-09
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,5,26-05-2025 - 30-05-2025,4,PREÇO RECEBIDO P/ PR,30.0,2025-05-26,2025-05-30
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,5,19-05-2025 - 23-05-2025,3,PREÇO RECEBIDO P/ PR,30.0,2025-05-19,2025-05-23
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,5,12-05-2025 - 16-05-2025,2,PREÇO RECEBIDO P/ PR,30.0,2025-05-12,2025-05-16
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,5,05-05-2025 - 09-05-2025,1,PREÇO RECEBIDO P/ PR,29.0,2025-05-05,2025-05-09
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,5,05-05-2025 - 09-05-2025,1,PREÇO RECEBIDO P/ PR,25.0,2025-05-05,2025-05-09
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,5,12-05-2025 - 16-05-2025,2,PREÇO RECEBIDO P/ PR,26.0,2025-05-12,2025-05-16
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,5,19-05-2025 - 23-05-2025,3,PREÇO RECEBIDO P/ PR,26.0,2025-05-19,2025-05-23
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,5,26-05-2025 - 30-05-2025,4,PREÇO RECEBIDO P/ PR,26.0,2025-05-26,2025-05-30
ALHO                     ,NOBRE 7 COMERCIAL RO,7612,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,5,05-05-2025 - 09-05-2025,1,PREÇO RECEBIDO P/ PR,31.0,2025-05-05,2025-05-09
